scenario,entity,wealth_quintile,value
baseline,anemia,1,4235620.831245281
baseline,anemia,2,3795996.7007123805
baseline,anemia,3,3704776.8310157633
baseline,anemia,4,3390983.952963505
baseline,anemia,5,3002100.783104786
baseline,lbwsg,1,18587848.37263764
baseline,lbwsg,2,15367676.054976309
baseline,lbwsg,3,13749346.945394887
baseline,lbwsg,4,12894337.43826528
baseline,lbwsg,5,12338372.316285955
baseline,maternal_disorders,1,591471.9178804262
baseline,maternal_disorders,2,469234.3949772201
baseline,maternal_disorders,3,412214.08373118413
baseline,maternal_disorders,4,377030.51903276786
baseline,maternal_disorders,5,347462.33821202494
baseline,ntd,1,368777.9317350958
baseline,ntd,2,325776.8159126353
baseline,ntd,3,292471.0148857868
baseline,ntd,4,275785.7535085588
baseline,ntd,5,234875.14948782223
intervention,anemia,1,4235620.831245281
intervention,anemia,2,3795996.7007123805
intervention,anemia,3,3704776.8310157633
intervention,anemia,4,3390983.952963505
intervention,anemia,5,3002100.783104786
intervention,lbwsg,1,18587848.37263764
intervention,lbwsg,2,15367676.054976309
intervention,lbwsg,3,13749346.945394887
intervention,lbwsg,4,12894337.43826528
intervention,lbwsg,5,12338372.316285955
intervention,maternal_disorders,1,591471.9178804262
intervention,maternal_disorders,2,469234.3949772201
intervention,maternal_disorders,3,412214.08373118413
intervention,maternal_disorders,4,377030.51903276786
intervention,maternal_disorders,5,347462.33821202494
intervention,ntd,1,209395.6165533224
intervention,ntd,2,199046.2700809328
intervention,ntd,3,191327.19004748543
intervention,ntd,4,189716.67602052787
intervention,ntd,5,196846.91704320136
zero,anemia,1,4595327.287925505
zero,anemia,2,4112534.331971537
zero,anemia,3,3977016.5003595706
zero,anemia,4,3611250.3042225945
zero,anemia,5,3111581.1139546963
zero,lbwsg,1,18640875.795544405
zero,lbwsg,2,15402279.75372651
zero,lbwsg,3,13777535.125569122
zero,lbwsg,4,12917490.735486353
zero,lbwsg,5,12350655.520860415
zero,maternal_disorders,1,603603.6221416921
zero,maternal_disorders,2,477034.95714807924
zero,maternal_disorders,3,419322.97040011577
zero,maternal_disorders,4,383405.9851769244
zero,maternal_disorders,5,351691.4669081872
zero,ntd,1,397090.2965307904
zero,ntd,2,346921.3241359736
zero,ntd,3,308402.4677522138
zero,ntd,4,288789.49981879623
zero,ntd,5,239828.0399304447
