sex,age_start,age_end,wealth_quintile,vehicle_name,value
Female,0,5,1,bouillon,3.570127504553735
Female,0,5,2,bouillon,3.060109289617487
Female,0,5,3,bouillon,2.9143897996357016
Female,0,5,4,bouillon,2.4043715846994544
Female,0,5,5,bouillon,1.6757741347905284
Male,0,5,1,bouillon,3.689131754705525
Male,0,5,2,bouillon,3.1621129326047357
Male,0,5,3,bouillon,3.011536126290224
Male,0,5,4,bouillon,2.4845173041894353
Male,0,5,5,bouillon,1.7316332726168788
Female,5,15,1,bouillon,3.5998785670916824
Female,5,15,2,bouillon,3.0856102003642993
Female,5,15,3,bouillon,2.9386763812993317
Female,5,15,4,bouillon,2.4244080145719495
Female,5,15,5,bouillon,1.689738919247116
Male,5,15,1,bouillon,3.7198745193280702
Male,5,15,2,bouillon,3.188463873709775
Male,5,15,3,bouillon,3.0366322606759755
Male,5,15,4,bouillon,2.50522161505768
Male,5,15,5,bouillon,1.746063549888686
Female,15,125,1,bouillon,3.6296296296296298
Female,15,125,2,bouillon,3.111111111111111
Female,15,125,3,bouillon,2.9629629629629624
Female,15,125,4,bouillon,2.4444444444444446
Female,15,125,5,bouillon,1.7037037037037035
Male,15,125,1,bouillon,3.750617283950616
Male,15,125,2,bouillon,3.214814814814814
Male,15,125,3,bouillon,3.061728395061727
Male,15,125,4,bouillon,2.5259259259259252
Male,15,125,5,bouillon,1.760493827160493
