sex,age_start,age_end,pregnant,lowest,second,middle,fourth,highest
Female,0.0,5.0,not_pregnant,0.22070729108259837,0.21980143451580678,0.2075181280578196,0.18241595475451078,0.16955719158926452
Female,5.0,15.0,not_pregnant,0.22290328439150728,0.21131399196488046,0.20094081735401514,0.18989328758922974,0.17494861870036732
Female,15.0,30.0,not_pregnant,0.16524774061885064,0.19470776594607997,0.2004028393119675,0.2236495945371249,0.21599205958597698
Female,15.0,30.0,pregnant,0.22956772053028923,0.2690873290100607,0.21828988181861442,0.1691749644773178,0.11388010416371791
Female,30.0,50.0,not_pregnant,0.16741384766277645,0.17615028243918504,0.1883656555779764,0.21462112347973017,0.25344909084033185
Female,30.0,50.0,pregnant,0.2478999509957115,0.19705385144001666,0.18201447920256597,0.16376339125220676,0.2092683271094992
Female,50.0,125.0,not_pregnant,0.19607733512329895,0.18490236084141706,0.22888516326047562,0.19297412421901347,0.19716101655579493
Male,0.0,5.0,not_pregnant,0.214963313691161,0.22321056532361241,0.20313714529691923,0.18819408809277338,0.170494887595534
Male,5.0,15.0,not_pregnant,0.22713421993247254,0.21191729011249866,0.20279489160983882,0.18934025893662565,0.16881333940856433
Male,15.0,30.0,not_pregnant,0.1944798939475012,0.1972306189403827,0.19658652551338326,0.21192442344668733,0.1997785381520455
Male,30.0,50.0,not_pregnant,0.1555863705059843,0.16648119927087368,0.189007343053408,0.21720071416724115,0.27172437300249275
Male,50.0,125.0,not_pregnant,0.20986411713082212,0.1836575697926083,0.18878405511735785,0.20214825451801585,0.21554600344119587
