sex,age_start,age_end,wealth_quintile,value,vehicle_name
Female,0,5,1,0.15630252038070735,rice
Female,0,5,2,0.17331932331270655,rice
Female,0,5,3,0.17217692943461183,rice
Female,0,5,4,0.1235661895634652,rice
Female,0,5,5,0.06283823662571358,rice
Female,5,15,1,0.17718796167918352,rice
Female,5,15,2,0.1981269643239915,rice
Female,5,15,3,0.18286241148349203,rice
Female,5,15,4,0.14688303912495934,rice
Female,5,15,5,0.07792836720842866,rice
Female,15,30,1,0.17492602453782077,rice
Female,15,30,2,0.2051537235915681,rice
Female,15,30,3,0.18320183509364985,rice
Female,15,30,4,0.1553409094244893,rice
Female,15,30,5,0.08408304983699572,rice
Female,30,50,1,0.19016908111100433,rice
Female,30,50,2,0.21752509852332966,rice
Female,30,50,3,0.19413384990936908,rice
Female,30,50,4,0.14939648221446217,rice
Female,30,50,5,0.07307758702622426,rice
Female,50,125,1,0.22989769625077106,rice
Female,50,125,2,0.22865786412136738,rice
Female,50,125,3,0.20119277482664777,rice
Female,50,125,4,0.15427293307509288,rice
Female,50,125,5,0.0670904672698121,rice
Male,0,5,1,0.1615856886826883,rice
Male,0,5,2,0.18291110028411728,rice
Male,0,5,3,0.16714808693909777,rice
Male,0,5,4,0.12532097919245144,rice
Male,0,5,5,0.06809138699233824,rice
Male,5,15,1,0.18061225652674986,rice
Male,5,15,2,0.20513245903990304,rice
Male,5,15,3,0.18452684907316413,rice
Male,5,15,4,0.14989325233576997,rice
Male,5,15,5,0.07806716388179255,rice
Male,15,30,1,0.18880330522020894,rice
Male,15,30,2,0.20753360656741218,rice
Male,15,30,3,0.1884342835416081,rice
Male,15,30,4,0.16045318763605704,rice
Male,15,30,5,0.08499578658220425,rice
Male,30,50,1,0.17937143669663946,rice
Male,30,50,2,0.2078791282968521,rice
Male,30,50,3,0.18173097031854427,rice
Male,30,50,4,0.14319565096681092,rice
Male,30,50,5,0.07068770980412914,rice
Male,50,125,1,0.21473368339260493,rice
Male,50,125,2,0.21568606590862283,rice
Male,50,125,3,0.18883689960356928,rice
Male,50,125,4,0.14811783377775864,rice
Male,50,125,5,0.06735431860372662,rice
